dt_s,q_final_V,qb_final_V,tq_cross_s
1e-13,-0.000000,1.800000,-1
1.1e-13,-0.000000,1.800001,-1
1.2e-13,-0.000000,1.800000,-1
1.3e-13,-0.000000,1.800000,-1
1.4e-13,-0.000000,1.800000,-1
1.5e-13,1.800000,-0.000000,5.49954080954459e-10
1.6e-13,1.800000,-0.000000,4.65297473203408e-10
1.7e-13,1.800001,-0.000000,4.47106248113128e-10
1.8e-13,1.800001,-0.000000,4.35891879279109e-10
1.9e-13,1.800000,0.000000,4.2874529368549e-10
2e-13,1.800000,-0.000000,4.22975426744016e-10
2.1e-13,1.800000,-0.000000,4.18602154868759e-10
2.2e-13,1.800001,-0.000000,4.14311680810326e-10
2.3e-13,1.800000,-0.000000,4.10923429213272e-10
2.4e-13,1.800001,-0.000000,4.08043573020845e-10
2.5e-13,1.800000,-0.000000,4.05338876191642e-10
2.6e-13,1.800000,-0.000000,4.02914338113377e-10
2.7e-13,1.800000,0.000000,4.00715379172062e-10
2.8e-13,1.800000,-0.000000,3.98511502931898e-10
2.9e-13,1.800000,-0.000000,3.96638537333061e-10
3e-13,1.800000,-0.000000,3.95062586602989e-10
