v0t1,v1t1,v2t1,v0t2,v1t2,v2t2,tau1_s,tau2_s,t0_s
0,0,0,0,0,0,7.74149e-11,6.54794e-11,1.19355e-11
0,0,0,0,0,1.8,7.74153e-11,7.80487e-11,-6.33448e-13
0,0,0,0,1.8,0,7.74151e-11,7.55919e-11,1.82321e-12
0,0,0,0,1.8,1.8,7.74154e-11,8.91064e-11,-1.1691e-11
0,0,0,1.8,0,0,7.7415e-11,6.73656e-11,1.00494e-11
0,0,0,1.8,0,1.8,7.74153e-11,8.01437e-11,-2.72839e-12
0,0,0,1.8,1.8,0,7.74153e-11,7.76649e-11,-2.49628e-13
0,0,0,1.8,1.8,1.8,7.74158e-11,9.13649e-11,-1.39491e-11
0,0,1.8,0,0,0,9.20726e-11,6.55081e-11,2.65645e-11
0,0,1.8,0,0,1.8,9.20729e-11,7.79958e-11,1.40771e-11
0,0,1.8,0,1.8,0,9.20728e-11,7.55627e-11,1.65101e-11
0,0,1.8,0,1.8,1.8,9.20743e-11,8.91958e-11,2.87852e-12
0,0,1.8,1.8,0,0,9.20725e-11,6.7312e-11,2.47605e-11
0,0,1.8,1.8,0,1.8,9.20733e-11,8.01057e-11,1.19676e-11
0,0,1.8,1.8,1.8,0,9.20731e-11,7.76288e-11,1.44443e-11
0,0,1.8,1.8,1.8,1.8,9.20746e-11,9.14017e-11,6.72867e-13
0,1.8,0,0,0,0,9.04238e-11,6.55327e-11,2.48911e-11
0,1.8,0,0,0,1.8,9.04233e-11,7.79985e-11,1.24249e-11
0,1.8,0,0,1.8,0,9.04235e-11,7.5579e-11,1.48445e-11
0,1.8,0,0,1.8,1.8,9.04214e-11,8.91934e-11,1.228e-12
0,1.8,0,1.8,0,0,9.04241e-11,6.74209e-11,2.30032e-11
0,1.8,0,1.8,0,1.8,9.04229e-11,8.01292e-11,1.02937e-11
0,1.8,0,1.8,1.8,0,9.04233e-11,7.76468e-11,1.27765e-11
0,1.8,0,1.8,1.8,1.8,9.04214e-11,9.14068e-11,-9.85416e-13
0,1.8,1.8,0,0,0,1.059e-10,6.56051e-11,4.02952e-11
0,1.8,1.8,0,0,1.8,1.0591e-10,7.79449e-11,2.79648e-11
0,1.8,1.8,0,1.8,0,1.05903e-10,7.55946e-11,3.03084e-11
0,1.8,1.8,0,1.8,1.8,1.05924e-10,8.91597e-11,1.67647e-11
0,1.8,1.8,1.8,0,0,1.05892e-10,6.74568e-11,3.84351e-11
0,1.8,1.8,1.8,0,1.8,1.05909e-10,8.00675e-11,2.58411e-11
0,1.8,1.8,1.8,1.8,0,1.05903e-10,7.75912e-11,2.83121e-11
0,1.8,1.8,1.8,1.8,1.8,1.05918e-10,9.13612e-11,1.45567e-11
1.8,0,0,0,0,0,7.95527e-11,6.55361e-11,1.40166e-11
1.8,0,0,0,0,1.8,7.95544e-11,7.80188e-11,1.53557e-12
1.8,0,0,0,1.8,0,7.95541e-11,7.55892e-11,3.96499e-12
1.8,0,0,0,1.8,1.8,7.95558e-11,8.91322e-11,-9.57641e-12
1.8,0,0,1.8,0,0,7.9553e-11,6.73729e-11,1.21801e-11
1.8,0,0,1.8,0,1.8,7.95547e-11,8.01162e-11,-5.61572e-13
1.8,0,0,1.8,1.8,0,7.95544e-11,7.7668e-11,1.88646e-12
1.8,0,0,1.8,1.8,1.8,7.95561e-11,9.13543e-11,-1.17982e-11
1.8,0,1.8,0,0,0,9.43282e-11,6.55825e-11,2.87458e-11
1.8,0,1.8,0,0,1.8,9.43349e-11,7.79865e-11,1.63483e-11
1.8,0,1.8,0,1.8,0,9.43335e-11,7.55401e-11,1.87934e-11
1.8,0,1.8,0,1.8,1.8,9.4338e-11,8.91906e-11,5.14739e-12
1.8,0,1.8,1.8,0,0,9.4329e-11,6.73361e-11,2.69928e-11
1.8,0,1.8,1.8,0,1.8,9.43379e-11,8.0099e-11,1.4239e-11
1.8,0,1.8,1.8,1.8,0,9.43362e-11,7.76387e-11,1.66976e-11
1.8,0,1.8,1.8,1.8,1.8,9.43393e-11,9.14593e-11,2.88002e-12
1.8,1.8,0,0,0,0,9.26323e-11,6.55428e-11,2.70895e-11
1.8,1.8,0,0,0,1.8,9.26365e-11,7.79989e-11,1.46376e-11
1.8,1.8,0,0,1.8,0,9.26368e-11,7.55721e-11,1.70647e-11
1.8,1.8,0,0,1.8,1.8,9.26363e-11,8.91896e-11,3.4467e-12
1.8,1.8,0,1.8,0,0,9.26328e-11,6.73397e-11,2.52931e-11
1.8,1.8,0,1.8,0,1.8,9.26364e-11,8.0116e-11,1.25204e-11
1.8,1.8,0,1.8,1.8,0,9.26365e-11,7.76268e-11,1.50097e-11
1.8,1.8,0,1.8,1.8,1.8,9.26362e-11,9.14239e-11,1.21229e-12
1.8,1.8,1.8,0,0,0,1.08152e-10,6.55975e-11,4.25541e-11
1.8,1.8,1.8,0,0,1.8,1.08171e-10,7.80135e-11,3.01578e-11
1.8,1.8,1.8,0,1.8,0,1.08156e-10,7.56012e-11,3.25543e-11
1.8,1.8,1.8,0,1.8,1.8,1.08181e-10,8.91293e-11,1.90514e-11
1.8,1.8,1.8,1.8,0,0,1.08149e-10,6.7455e-11,4.06941e-11
1.8,1.8,1.8,1.8,0,1.8,1.08167e-10,8.00878e-11,2.8079e-11
1.8,1.8,1.8,1.8,1.8,0,1.08163e-10,7.76538e-11,3.05091e-11
1.8,1.8,1.8,1.8,1.8,1.8,1.08184e-10,9.13524e-11,1.68317e-11
